date,ABI.BR,ADS.DE,AI.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CRG.IR,CS.PA,DB1.DE,DG.PA,DPW.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,FLTR.IR,IBE.MC,IFX.DE,INGA.AS,ISP.MI,KER.PA,MBG.DE,MC.PA,MUV2.DE,OR.PA,PHIA.AS,RI.PA,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SIE.DE,STLA.MI,SU.PA,TTE.PA,VOW.DE
2018-12-31,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
2019-01-02,0.024422883987426758,3.3594019441807177e-06,0.013541536405682564,3.3594019441807177e-06,3.3594019441807177e-06,3.3594019441807177e-06,0.07399575412273407,3.3594019441807177e-06,3.3594019441807177e-06,0.07399575412273407,3.3594019441807177e-06,3.3594019441807177e-06,3.3594019441807177e-06,0.07399575412273407,3.3594019441807177e-06,3.3594019441807177e-06,3.3594019441807177e-06,3.3594019441807177e-06,3.3594019441807177e-06,3.3594019441807177e-06,0.07399575412273407,3.3594019441807177e-06,0.07399575412273407,3.3594019441807177e-06,3.3594019441807177e-06,0.07399575412273407,0.07399575412273407,3.3594019441807177e-06,3.3594019441807177e-06,3.3594019441807177e-06,3.3594019441807177e-06,0.07399575412273407,0.07399575412273407,3.3594019441807177e-06,3.3594019441807177e-06,0.07399575412273407,3.3594019441807177e-06,3.3594019441807177e-06,0.07399575412273407,0.07399575412273407,0.07399575412273407,3.3594019441807177e-06
2019-01-03,0.06643880158662796,3.016316895809723e-06,0.06643880158662796,3.016316895809723e-06,3.016316895809723e-06,3.016316895809723e-06,0.06643880158662796,3.016316895809723e-06,3.016316895809723e-06,0.06643880158662796,3.016316895809723e-06,3.016316895809723e-06,3.016316895809723e-06,0.06643880158662796,3.016316895809723e-06,3.016316895809723e-06,3.016316895809723e-06,3.016316895809723e-06,3.016316895809723e-06,3.016316895809723e-06,0.06643880158662796,3.016316895809723e-06,0.06643880158662796,1.2854365195380524e-05,0.06643880158662796,0.06643880158662796,0.06643880158662796,3.016316895809723e-06,3.016316895809723e-06,3.016316895809723e-06,3.016316895809723e-06,0.06643880158662796,0.06643880158662796,3.016316895809723e-06,3.016316895809723e-06,0.06643880158662796,0.001636567641980946,3.016316895809723e-06,0.06643880158662796,0.0016962302615866065,0.06643880158662796,3.016316895809723e-06
2019-01-04,0.08314301073551178,3.77468654733093e-06,3.77468654733093e-06,3.77468654733093e-06,3.77468654733093e-06,3.77468654733093e-06,0.08314301073551178,3.77468654733093e-06,3.77468654733093e-06,0.08314301073551178,3.77468654733093e-06,3.77468654733093e-06,3.77468654733093e-06,0.08314301073551178,3.77468654733093e-06,3.77468654733093e-06,3.77468654733093e-06,3.77468654733093e-06,3.77468654733093e-06,3.77468654733093e-06,0.08314301073551178,3.77468654733093e-06,0.0005645587807521224,3.77468654733093e-06,0.0007359847077168524,0.08314301073551178,0.0008487474406138062,3.77468654733093e-06,3.77468654733093e-06,3.77468654733093e-06,3.77468654733093e-06,0.08314301073551178,0.08314301073551178,3.77468654733093e-06,0.08314301073551178,0.08314301073551178,1.1800753782154061e-05,3.77468654733093e-06,0.08314301073551178,2.847658470273018e-05,0.08314301073551178,3.77468654733093e-06
2019-01-07,0.09774114936590195,4.437441020854749e-06,4.437441020854749e-06,4.437441020854749e-06,4.437441020854749e-06,4.437441020854749e-06,0.09774114936590195,4.437441020854749e-06,4.437441020854749e-06,0.09774114936590195,4.437441020854749e-06,4.437441020854749e-06,4.437441020854749e-06,0.09774114936590195,4.437441020854749e-06,3.2235508115263656e-05,4.437441020854749e-06,4.437441020854749e-06,4.437441020854749e-06,4.437441020854749e-06,4.437441020854749e-06,4.437441020854749e-06,0.00023649159993510693,4.437441020854749e-06,5.559065175475553e-05,0.09774114936590195,1.3505059541785158e-05,4.437441020854749e-06,4.437441020854749e-06,4.437441020854749e-06,4.437441020854749e-06,3.22777486871928e-05,0.022090120241045952,4.437441020854749e-06,0.09774114936590195,0.09774114936590195,0.09774114936590195,1.3997554560774006e-05,0.09774114936590195,7.832799383322708e-06,0.09774114936590195,4.437441020854749e-06
2019-01-08,0.0623701736330986,2.8316012503637467e-06,2.8316012503637467e-06,2.8316012503637467e-06,7.122645183699206e-05,2.8316012503637467e-06,0.0623701736330986,2.8316012503637467e-06,2.8316012503637467e-06,0.0623701736330986,2.8316012503637467e-06,2.8316012503637467e-06,2.8316012503637467e-06,0.0623701736330986,2.8316012503637467e-06,2.8316012503637467e-06,2.8316012503637467e-06,2.8316012503637467e-06,0.0018746182322502136,2.8316012503637467e-06,0.0623701736330986,2.8316012503637467e-06,0.0623701736330986,0.0623701736330986,0.0623701736330986,0.0623701736330986,0.0623701736330986,2.8316012503637467e-06,2.8316012503637467e-06,2.8316012503637467e-06,2.8316012503637467e-06,0.0623701736330986,0.0623701736330986,2.8316012503637467e-06,6.630527059314772e-05,0.0623701736330986,2.8316012503637467e-06,2.8316012503637467e-06,0.0623701736330986,0.0623701736330986,0.0623701736330986,2.8316012503637467e-06
2019-01-09,0.06243591755628586,2.8345862119749654e-06,0.06243591755628586,2.8345862119749654e-06,0.0009149969555437565,2.8345862119749654e-06,0.06243591755628586,2.8345862119749654e-06,2.8345862119749654e-06,0.06243591755628586,2.8345862119749654e-06,2.8345862119749654e-06,2.8345862119749654e-06,0.06243591755628586,2.8345862119749654e-06,2.8345862119749654e-06,2.8345862119749654e-06,2.8345862119749654e-06,2.8345862119749654e-06,2.8345862119749654e-06,0.06243591755628586,2.8345862119749654e-06,0.06243591755628586,2.8345862119749654e-06,0.06243591755628586,0.06243591755628586,0.06243591755628586,2.8345862119749654e-06,2.8345862119749654e-06,2.8345862119749654e-06,2.8345862119749654e-06,0.06243591755628586,0.06243591755628586,2.8345862119749654e-06,2.8345862119749654e-06,0.06243591755628586,4.2339874198660254e-05,2.8345862119749654e-06,0.06243591755628586,0.06243591755628586,0.06243591755628586,2.8345862119749654e-06
2019-01-10,0.0692918449640274,3.145844857499469e-06,0.013525262475013733,3.145844857499469e-06,0.016151918098330498,3.145844857499469e-06,0.0692918449640274,3.145844857499469e-06,3.145844857499469e-06,0.0692918449640274,3.145844857499469e-06,3.145844857499469e-06,3.145844857499469e-06,0.0692918449640274,3.145844857499469e-06,3.145844857499469e-06,3.145844857499469e-06,3.145844857499469e-06,3.145844857499469e-06,3.145844857499469e-06,0.0692918449640274,3.145844857499469e-06,0.0692918449640274,2.2176725906319916e-05,0.00013924161612521857,0.0692918449640274,0.0692918449640274,3.145844857499469e-06,3.145844857499469e-06,3.145844857499469e-06,3.145844857499469e-06,0.0692918449640274,0.0692918449640274,3.145844857499469e-06,3.145844857499469e-06,0.0692918449640274,3.145844857499469e-06,3.145844857499469e-06,0.0692918449640274,0.0692918449640274,0.0692918449640274,3.145844857499469e-06
2019-01-11,0.0623629055917263,2.8312713311606785e-06,3.1815159218240296e-06,2.8312713311606785e-06,2.8312713311606785e-06,2.8312713311606785e-06,0.0623629055917263,2.8312713311606785e-06,2.8312713311606785e-06,0.0623629055917263,2.8312713311606785e-06,2.8312713311606785e-06,2.8312713311606785e-06,0.0623629055917263,2.8312713311606785e-06,2.8312713311606785e-06,2.8312713311606785e-06,2.8312713311606785e-06,4.970473673893139e-05,2.8312713311606785e-06,0.0623629055917263,2.8312713311606785e-06,0.0623629055917263,0.0623629055917263,0.0623629055917263,0.0623629055917263,0.0623629055917263,2.8312713311606785e-06,2.8312713311606785e-06,2.8312713311606785e-06,2.8312713311606785e-06,0.0623629055917263,0.0623629055917263,2.8312713311606785e-06,0.0623629055917263,0.0623629055917263,2.8312713311606785e-06,2.8312713311606785e-06,0.0623629055917263,0.002075576689094305,0.0623629055917263,2.8312713311606785e-06
2019-01-14,0.058819085359573364,2.6703821731643984e-06,7.596803243359318e-06,2.6703821731643984e-06,0.058819085359573364,2.6703821731643984e-06,0.058819085359573364,2.6703821731643984e-06,2.6703821731643984e-06,0.058819085359573364,2.6703821731643984e-06,2.6703821731643984e-06,2.6703821731643984e-06,0.058819085359573364,2.6703821731643984e-06,2.6703821731643984e-06,2.6703821731643984e-06,2.6703821731643984e-06,6.547124939970672e-06,2.6703821731643984e-06,0.058819085359573364,2.6703821731643984e-06,0.058819085359573364,0.058819085359573364,0.058819085359573364,0.058819085359573364,0.058819085359573364,2.6703821731643984e-06,2.6703821731643984e-06,2.6703821731643984e-06,2.6703821731643984e-06,0.058819085359573364,0.058819085359573364,2.6703821731643984e-06,2.6703821731643984e-06,0.058819085359573364,2.6703821731643984e-06,2.6703821731643984e-06,0.058819085359573364,0.058819085359573364,0.058819085359573364,2.6703821731643984e-06
