date,ABI.BR,ADS.DE,AI.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CRG.IR,CS.PA,DB1.DE,DG.PA,DPW.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,FLTR.IR,IBE.MC,IFX.DE,INGA.AS,ISP.MI,KER.PA,MBG.DE,MC.PA,MUV2.DE,OR.PA,PHIA.AS,RI.PA,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SIE.DE,STLA.MI,SU.PA,TTE.PA,VOW.DE
2016-12-30,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
2017-01-02,0.058104485273361206,2.6379395876574563e-06,0.058104485273361206,2.6379395876574563e-06,0.058104485273361206,2.6379395876574563e-06,0.058104485273361206,2.6379395876574563e-06,2.6379395876574563e-06,0.058104485273361206,2.6379395876574563e-06,2.6379395876574563e-06,2.6379395876574563e-06,0.058104485273361206,2.6379395876574563e-06,2.6379395876574563e-06,2.6379395876574563e-06,2.6379395876574563e-06,0.00015528261428698897,0.058104485273361206,0.058104485273361206,2.6379395876574563e-06,0.058104485273361206,0.058104485273361206,0.058104485273361206,0.058104485273361206,0.058104485273361206,0.009082285687327385,2.6379395876574563e-06,2.6379395876574563e-06,2.6379395876574563e-06,0.058104485273361206,0.002862268593162298,2.6379395876574563e-06,2.6379395876574563e-06,0.058104485273361206,6.842824950581416e-05,0.058104485273361206,0.058104485273361206,2.6379395876574563e-06,2.6379395876574563e-06,2.6379395876574563e-06
2017-01-03,0.05343246087431908,2.4258299617940793e-06,0.05343246087431908,2.4258299617940793e-06,0.05343246087431908,2.4258299617940793e-06,0.05343246087431908,2.4258299617940793e-06,2.4258299617940793e-06,0.05343246087431908,2.4258299617940793e-06,2.4258299617940793e-06,2.4258299617940793e-06,0.05343246087431908,2.4258299617940793e-06,2.4258299617940793e-06,2.4258299617940793e-06,2.4258299617940793e-06,0.05343246087431908,0.05343246087431908,0.05343246087431908,2.4258299617940793e-06,0.05343246087431908,0.05343246087431908,0.05343246087431908,0.05343246087431908,0.05343246087431908,0.03794106841087341,2.4258299617940793e-06,2.4258299617940793e-06,2.4258299617940793e-06,0.05343246087431908,9.835825039772317e-06,2.4258299617940793e-06,2.4258299617940793e-06,0.05343246087431908,0.00021387639571912587,0.05343246087431908,0.05343246087431908,2.4258299617940793e-06,2.4258299617940793e-06,2.4258299617940793e-06
2017-01-04,0.0681653767824173,3.094703288297751e-06,0.0681653767824173,3.094703288297751e-06,0.0681653767824173,3.094703288297751e-06,0.0681653767824173,3.094703288297751e-06,3.094703288297751e-06,0.0681653767824173,3.094703288297751e-06,3.094703288297751e-06,3.094703288297751e-06,0.0681653767824173,3.094703288297751e-06,3.094703288297751e-06,3.094703288297751e-06,3.094703288297751e-06,3.515404023346491e-05,0.0681653767824173,0.0681653767824173,3.094703288297751e-06,0.0681653767824173,0.005608842242509127,0.011969461105763912,0.0681653767824173,3.094703288297751e-06,3.094703288297751e-06,3.094703288297751e-06,3.094703288297751e-06,3.094703288297751e-06,0.0681653767824173,0.00016601564129814506,3.094703288297751e-06,0.00030638457974419,0.0681653767824173,0.027530798688530922,0.0681653767824173,0.0681653767824173,3.094703288297751e-06,3.094703288297751e-06,3.094703288297751e-06
2017-01-05,0.06264118105173111,2.8439053494366817e-06,0.06264118105173111,2.8439053494366817e-06,0.06264118105173111,2.8439053494366817e-06,0.06264118105173111,2.8439053494366817e-06,2.8439053494366817e-06,0.06264118105173111,2.8439053494366817e-06,2.8439053494366817e-06,2.8439053494366817e-06,0.06264118105173111,2.8439053494366817e-06,2.8439053494366817e-06,2.8439053494366817e-06,2.8439053494366817e-06,0.0010928686242550611,0.06264118105173111,0.06264118105173111,3.592184293665923e-05,0.06264118105173111,0.06264118105173111,0.06264118105173111,0.06264118105173111,0.0021881188731640577,2.0436096747289412e-05,2.8439053494366817e-06,2.8439053494366817e-06,2.8439053494366817e-06,0.06264118105173111,8.99801671039313e-06,2.8439053494366817e-06,0.04242744669318199,0.00715037202462554,0.007404075935482979,0.06264118105173111,0.06264118105173111,2.8439053494366817e-06,2.8439053494366817e-06,2.8439053494366817e-06
2017-01-06,0.06076972931623459,2.7589412638917565e-06,0.06076972931623459,2.7589412638917565e-06,0.0001924847747432068,2.7589412638917565e-06,0.06076972931623459,2.7589412638917565e-06,2.7589412638917565e-06,0.06076972931623459,2.7589412638917565e-06,2.7589412638917565e-06,2.7589412638917565e-06,0.06076972931623459,2.7589412638917565e-06,2.7589412638917565e-06,2.7589412638917565e-06,2.7589412638917565e-06,0.0008142523583956063,0.06076972931623459,0.06076972931623459,2.7589412638917565e-06,0.06076972931623459,0.06076972931623459,0.06076972931623459,0.06076972931623459,0.06076972931623459,0.06076972931623459,2.7589412638917565e-06,2.7589412638917565e-06,0.00025449786335229874,0.06076972931623459,0.00167675013653934,2.7589412638917565e-06,2.7589412638917565e-06,0.02468840964138508,2.7589412638917565e-06,0.06076972931623459,0.06076972931623459,2.7589412638917565e-06,2.7589412638917565e-06,2.7589412638917565e-06
2017-01-09,0.05798729509115219,2.6326190436520847e-06,0.05798729509115219,2.6326190436520847e-06,0.006973505485802889,2.6326190436520847e-06,0.0029578451067209244,2.6326190436520847e-06,2.6326190436520847e-06,0.05798729509115219,2.6326190436520847e-06,2.6326190436520847e-06,2.6326190436520847e-06,0.05798729509115219,2.6326190436520847e-06,2.6326190436520847e-06,2.6326190436520847e-06,2.6326190436520847e-06,5.698038876289502e-06,0.05798729509115219,0.05798729509115219,2.6326190436520847e-06,0.05798729509115219,0.05798729509115219,0.05798729509115219,0.05798729509115219,0.05798729509115219,0.05798729509115219,2.6326190436520847e-06,2.6326190436520847e-06,0.0041953749023377895,0.05798729509115219,0.05798729509115219,2.6326190436520847e-06,2.6326190436520847e-06,0.05798729509115219,3.0879207770340145e-05,0.05798729509115219,0.05798729509115219,2.6326190436520847e-06,2.6326190436520847e-06,2.6326190436520847e-06
2017-01-10,0.05685221031308174,2.5810861643549288e-06,0.05685221031308174,2.5810861643549288e-06,0.00018583805649541318,2.5810861643549288e-06,0.014479895122349262,2.5810861643549288e-06,2.5810861643549288e-06,0.05685221031308174,2.5810861643549288e-06,2.5810861643549288e-06,2.5810861643549288e-06,0.05685221031308174,2.5810861643549288e-06,2.5810861643549288e-06,2.5810861643549288e-06,2.5810861643549288e-06,7.477813051082194e-05,0.05685221031308174,0.05685221031308174,2.5810861643549288e-06,0.05685221031308174,0.05685221031308174,0.05685221031308174,0.05685221031308174,0.05685221031308174,0.05685221031308174,2.5810861643549288e-06,2.5810861643549288e-06,0.05685221031308174,0.05685221031308174,0.05685221031308174,2.5810861643549288e-06,2.5810861643549288e-06,0.018717749044299126,2.5810861643549288e-06,0.05685221031308174,0.05685221031308174,2.5810861643549288e-06,2.5810861643549288e-06,2.5810861643549288e-06
2017-01-11,0.0692419707775116,3.1435806704394054e-06,0.0692419707775116,3.1435806704394054e-06,0.0692419707775116,3.1435806704394054e-06,0.012818741612136364,3.1435806704394054e-06,3.1435806704394054e-06,0.0692419707775116,3.1435806704394054e-06,3.1435806704394054e-06,3.1435806704394054e-06,0.0692419707775116,3.1435806704394054e-06,3.1435806704394054e-06,3.1435806704394054e-06,3.1435806704394054e-06,3.1435806704394054e-06,0.0692419707775116,0.0692419707775116,3.1435806704394054e-06,0.0692419707775116,0.0002661398029886186,0.002879076637327671,0.0692419707775116,0.0692419707775116,0.0692419707775116,3.1435806704394054e-06,3.1435806704394054e-06,3.1435806704394054e-06,0.0692419707775116,0.0007079667411744595,3.1435806704394054e-06,3.1435806704394054e-06,0.013745684176683426,0.00012562486517708749,0.0692419707775116,0.0692419707775116,3.1435806704394054e-06,3.1435806704394054e-06,3.1435806704394054e-06
2017-01-12,0.05113707110285759,2.321619376743911e-06,0.05113707110285759,2.321619376743911e-06,0.05113707110285759,2.321619376743911e-06,0.05113707110285759,2.321619376743911e-06,2.321619376743911e-06,0.05113707110285759,2.321619376743911e-06,2.321619376743911e-06,2.321619376743911e-06,0.05113707110285759,2.321619376743911e-06,2.321619376743911e-06,2.321619376743911e-06,2.321619376743911e-06,0.05113707110285759,0.05113707110285759,0.05113707110285759,2.321619376743911e-06,0.05113707110285759,0.05113707110285759,0.05113707110285759,0.05113707110285759,0.05113707110285759,0.05113707110285759,2.321619376743911e-06,2.321619376743911e-06,0.0003690185840241611,0.05113707110285759,0.02797788754105568,2.321619376743911e-06,2.321619376743911e-06,0.05113707110285759,2.321619376743911e-06,0.05113707110285759,0.05113707110285759,2.321619376743911e-06,2.321619376743911e-06,2.321619376743911e-06
