date,daily_return,Indexed
2019-12-31,0.0,1.0
2020-01-02,0.013519286142831452,1.0135192861428315
2020-01-03,-0.007524955686356256,1.0058925984273392
2020-01-06,-0.005319567767627295,1.0005416845830504
2020-01-07,0.0022991027786976063,1.002842032750278
2020-01-08,0.00012115824444554938,1.0029635353304223
2020-01-09,0.006357556822965123,1.0093399329976473
2020-01-10,-0.006756582822311539,1.0025202441444825
2020-01-13,-0.0018245820659402194,1.0006910636862745
2020-01-14,1.4312461360222796e-05,1.0007053860384572
2020-01-15,0.0002704930575666863,1.0009760698980503
2020-01-16,0.0034484515224876386,1.0044278873502641
2020-01-17,0.006778603051826206,1.0112365052927959
2020-01-20,-0.0037496986484056583,1.007444673135681
2020-01-21,-0.00491855345615721,1.0024895026567422
2020-01-22,-0.0063784327996666435,0.996095190731675
2020-01-23,-0.010167048515473533,0.9859678426014761
2020-01-24,0.006805401559783377,0.9926777496954124
2020-01-27,-0.026684565730585898,0.9661885750343752
2020-01-28,0.011220303595763637,0.9770295041770192
2020-01-29,0.008105171274958052,0.9849484956490612
2020-01-30,-0.01378629338177799,0.9713697067221023
2020-01-31,-0.01443797135710185,0.9573450987192922
2020-02-03,0.004139069305607436,0.9613076164322749
2020-02-04,0.019193845495016657,0.9797588062952588
2020-02-05,0.012989705621544438,0.99248558476915
2020-02-06,0.004351657880940308,0.9968045424858305
2020-02-07,-0.00341081458451792,0.993404627014406
2020-02-10,-0.0027596923939007365,0.9906631358211686
2020-02-11,0.008315334330431108,0.998900831004355
2020-02-12,0.01064165021418833,1.0095307842465655
2020-02-13,-0.0034025203993942577,1.00609583515935
2020-02-14,-0.0064467344629866655,0.9996098024657609
2020-02-17,0.0014973694345157898,1.0011065876304155
2020-02-18,-0.010325160039722225,0.9907700018963111
2020-02-19,0.009332968027874377,1.0000168266469864
2020-02-20,-0.012116678252776006,0.9878999445111428
2020-02-21,-0.008015920755802907,0.9799810168412794
2020-02-24,-0.04525021218333324,0.9356366678935728
2020-02-25,-0.017547592896509624,0.9192184965463296
2020-02-26,0.0044016077286670565,0.9232645357850616
2020-02-27,-0.0323438674366925,0.8934025900306302
2020-02-28,-0.03169303054575563,0.8650879544551322
2020-03-02,-0.0014849455959800955,0.8638033459070286
2020-03-03,0.009045866371041295,0.871617195544962
2020-03-04,0.011713882270277105,0.8818272167583248
2020-03-05,-0.019271609169809138,0.8648329872816577
2020-03-06,-0.03351166429629762,0.8358509945395106
2020-03-09,-0.08722133889646895,0.7629469516778293
2020-03-10,-0.011385621956905833,0.7542603261128519
2020-03-11,-0.0033305404641314146,0.751748231576244
2020-03-12,-0.1303469856954926,0.6537601155883634
2020-03-13,0.016721080797511556,0.664691691303307
2020-03-16,-0.06292490307044728,0.6228660310563147
2020-03-17,0.02232324968251928,0.6367704249863445
2020-03-18,-0.06451564136841097,0.5956887726139148
2020-03-19,0.034427357179825355,0.6161967627567058
2020-03-20,0.04411972859353293,0.6433831966897452
2020-03-23,-0.02473037696725667,0.6274720877012092
2020-03-24,0.11022190019437626,0.6966332535265688
2020-03-25,0.0389581535149998,0.7237727987611107
2020-03-26,0.018774196209991385,0.7373610512965064
2020-03-27,-0.053054225412020234,0.6982409318709774
2020-03-30,0.01110376274289284,0.7059940335158491
2020-03-31,0.007849970403111896,0.7115360657837221
2020-04-01,-0.044641487258389664,0.6797720375691534
2020-04-02,0.009880092981740383,0.6864882485067237
2020-04-03,-0.011076992561623785,0.6788840232843727
2020-04-06,0.05458108623428811,0.7159382507023375
2020-04-07,0.02337791619942721,0.7326753951312213
2020-04-08,-0.004586717029127907,0.7293148204195499
2020-04-09,0.022387125937877603,0.7456420831526429
2020-04-14,0.0035781262250685064,0.748310084644886
2020-04-15,-0.03898560607938141,0.7191367624596919
2020-04-16,0.0030617856501639965,0.7213386050794964
2020-04-17,0.028822457965993798,0.7421293567036488
2020-04-20,0.00485164758067468,0.7457299068016476
2020-04-21,-0.04125036250165457,0.7149682778177546
2020-04-22,0.014510574163337786,0.725342878037463
2020-04-23,0.012050380678376669,0.7340835358401638
2020-04-24,-0.019047208335513127,0.7201012937973461
2020-04-27,0.02885623294806082,0.7408807044773623
2020-04-28,0.028148822358814454,0.7617356238167688
2020-04-29,0.032617313148324986,0.7865813931950351
2020-04-30,-0.02729830277609484,0.7651090561655545
2020-05-04,-0.04544298764654596,0.7303402147779627
2020-05-05,0.014926479450615251,0.7412416229858039
2020-05-06,-0.012125315368096279,0.7322538345431415
2020-05-07,0.016345342403866016,0.744222774195293
2020-05-08,0.01192919349509949,0.7531007516721285
2020-05-11,-0.010477268469192167,0.7452103129125092
2020-05-12,-0.0035217861727096485,0.7425858415367333
2020-05-13,-0.02940782779440476,0.7207480049862579
2020-05-14,-0.016637160692279298,0.7087568046086619
2020-05-15,0.003303401492729844,0.7110981128949885
2020-05-18,0.056048967889031444,0.7509544281905906
2020-05-19,-0.008710847469152962,0.7444129787103373
2020-05-20,0.009445086623304242,0.7514440237777683
2020-05-21,-0.011515028242051358,0.7427911246216466
2020-05-22,-0.0006814112623312011,0.7422849783837697
2020-05-25,0.021966092741148285,0.7585900790593089
2020-05-26,0.0205963354758963,0.774214254816301
2020-05-27,0.024947351425830124,0.7935288499100904
2020-05-28,0.01092807227454294,0.8022005905338427
2020-05-29,-0.023769093709633263,0.7831330095235206
2020-06-01,0.010282691403545431,0.7911857245883808
2020-06-02,0.0338246593388662,0.8179473121963567
2020-06-03,0.03763253810401337,0.8487287455896615
2020-06-04,0.0006892360827524428,0.849313720065591
