date,ABI.BR,ADS.DE,AI.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CRG.IR,CS.PA,DB1.DE,DG.PA,DPW.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,FLTR.IR,IBE.MC,IFX.DE,INGA.AS,ISP.MI,KER.PA,MBG.DE,MC.PA,MUV2.DE,OR.PA,PHIA.AS,RI.PA,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SIE.DE,STLA.MI,SU.PA,TTE.PA,VOW.DE
2017-12-29,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
2018-01-02,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,0.0941925123333931,0.0941925123333931,4.276333129382692e-06,4.276333129382692e-06,0.0941925123333931,4.276333129382692e-06,0.000359950412530452,0.0001235164818353951,4.276333129382692e-06,0.0941925123333931,0.0941925123333931,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,5.5987889936659485e-05,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,0.057414062321186066,0.0941925123333931,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,0.0941925123333931,0.0941925123333931,5.956472705292981e-06,0.0941925123333931,0.0941925123333931,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06,4.276333129382692e-06
2018-01-03,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,0.1801900565624237,0.03471321612596512,8.180615623132326e-06,8.180615623132326e-06,0.003470388241112232,8.180615623132326e-06,0.0003613372100517154,5.219050945015624e-05,8.180615623132326e-06,0.008320040069520473,0.1801900565624237,8.180615623132326e-06,2.2918495233170688e-05,8.180615623132326e-06,2.3121816411730833e-05,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,0.000742280506528914,0.031353600323200226,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,0.1801900565624237,0.1801900565624237,2.4386405129916966e-05,0.019753610715270042,0.1801900565624237,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06,8.180615623132326e-06
2018-01-04,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,0.11066444218158722,0.11066444218158722,5.0241574172105175e-06,5.0241574172105175e-06,0.07656610012054443,5.0241574172105175e-06,0.00019427333609201014,8.677276491653174e-05,5.0241574172105175e-06,0.029005754739046097,0.11066444218158722,5.0241574172105175e-06,5.09992241859436e-06,5.0241574172105175e-06,3.829472916550003e-05,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,0.008643429726362228,0.11066444218158722,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,0.11066444218158722,0.11066444218158722,1.4110553820501082e-05,0.11066444218158722,0.11066444218158722,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06,5.0241574172105175e-06
2018-01-05,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,0.13029898703098297,0.13029898703098297,5.915564543101937e-06,5.915564543101937e-06,0.014390706084668636,5.915564543101937e-06,0.00023532331397291273,8.880502718966454e-05,5.915564543101937e-06,0.04334520921111107,0.13029898703098297,5.915564543101937e-06,1.5078581782290712e-05,5.915564543101937e-06,2.3219332433654927e-05,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,0.004331629723310471,0.13029898703098297,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,0.13029898703098297,0.13029898703098297,5.388005229178816e-05,0.025269461795687675,0.13029898703098297,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06,5.915564543101937e-06
2018-01-08,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,0.10255958884954453,0.10255958884954453,4.656198143493384e-06,4.656198143493384e-06,0.03742256388068199,4.656198143493384e-06,0.0005060979165136814,4.511879160418175e-05,4.656198143493384e-06,0.10255958884954453,0.10255958884954453,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,2.0541405319818296e-05,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,0.051873255521059036,0.10255958884954453,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,1.0045653652923647e-05,0.10255958884954453,0.10255958884954453,1.397483083565021e-05,0.08951064199209213,0.10255958884954453,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06,4.656198143493384e-06
2018-01-09,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,0.12962837517261505,0.06368504464626312,5.885119207960088e-06,5.885119207960088e-06,0.01384564395993948,5.885119207960088e-06,0.000544284819625318,2.797015076794196e-05,5.885119207960088e-06,0.012940819375216961,0.12962837517261505,5.885119207960088e-06,1.000531847239472e-05,5.885119207960088e-06,1.3596578355645761e-05,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,0.0013357852585613728,0.12962837517261505,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,0.12962837517261505,0.12962837517261505,4.516271292231977e-05,0.12962837517261505,0.12962837517261505,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06,5.885119207960088e-06
2018-01-10,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,0.12014742940664291,0.12014742940664291,5.454684469441418e-06,5.454684469441418e-06,0.034301724284887314,5.454684469441418e-06,6.966792716411874e-05,0.000277733983239159,5.454684469441418e-06,0.053340114653110504,0.12014742940664291,5.454684469441418e-06,5.6803723964549135e-06,5.454684469441418e-06,3.775768345803954e-05,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,0.0038080294616520405,0.12014742940664291,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,0.12014742940664291,0.12014742940664291,1.0468655091244727e-05,0.06697499006986618,0.12014742940664291,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06,5.454684469441418e-06
2018-01-11,5.8832138165598735e-06,5.8832138165598735e-06,5.8832138165598735e-06,0.12958641350269318,0.05343848839402199,5.8832138165598735e-06,5.8832138165598735e-06,0.04839644208550453,5.8832138165598735e-06,0.00010200414544669911,0.00045273208525031805,5.8832138165598735e-06,0.09057984501123428,0.12958641350269318,5.8832138165598735e-06,2.0937570297974162e-05,5.8832138165598735e-06,2.6332145353080705e-05,5.8832138165598735e-06,5.8832138165598735e-06,5.8832138165598735e-06,5.8832138165598735e-06,5.8832138165598735e-06,5.8832138165598735e-06,5.8832138165598735e-06,0.0006755963549949229,0.12958641350269318,5.8832138165598735e-06,8.738436008570716e-06,5.8832138165598735e-06,5.8832138165598735e-06,0.12958641350269318,0.12958641350269318,1.0598203516565263e-05,0.028622690588235855,0.12958641350269318,5.8832138165598735e-06,5.8832138165598735e-06,5.8832138165598735e-06,5.8832138165598735e-06,5.8832138165598735e-06,5.8832138165598735e-06
2018-01-12,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,0.14366257190704346,0.044532861560583115,6.5222702687606215e-06,6.5222702687606215e-06,0.011219213716685772,6.5222702687606215e-06,0.0012677868362516165,5.297414099914022e-05,6.5222702687606215e-06,0.14366257190704346,0.14366257190704346,6.5222702687606215e-06,1.7425185433239676e-05,6.5222702687606215e-06,5.004863123758696e-05,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,0.0007366592762991786,0.06505449116230011,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,0.14366257190704346,0.14366257190704346,1.1472428923298139e-05,0.014911982230842113,0.14366257190704346,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06,6.5222702687606215e-06
2018-01-15,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,0.11902741342782974,0.11902741342782974,5.403835984907346e-06,5.439155302155996e-06,0.038471486419439316,5.403835984907346e-06,0.0010571946622803807,7.246321183629334e-05,5.403835984907346e-06,0.07028237730264664,0.11902741342782974,5.403835984907346e-06,7.581415502500022e-06,5.403835984907346e-06,2.994319766003173e-05,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,0.0032922974787652493,0.11902741342782974,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,0.11902741342782974,0.11902741342782974,5.245260035735555e-05,0.05340177193284035,0.11902741342782974,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06,5.403835984907346e-06
2018-01-16,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,0.1426350474357605,0.05323440954089165,6.475620921264635e-06,6.475620921264635e-06,0.03702843189239502,6.475620921264635e-06,0.0005914429202675819,3.8784000935265794e-05,6.475620921264635e-06,0.03167849779129028,0.1426350474357605,6.475620921264635e-06,1.2530341336969286e-05,6.475620921264635e-06,1.3833257071382832e-05,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,0.0021451583597809076,0.1426350474357605,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,0.1426350474357605,0.1426350474357605,0.00011005245323758572,0.019168132916092873,0.1426350474357605,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06,6.475620921264635e-06
2018-01-17,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,0.09087983518838882,0.09087983518838882,4.125938176002819e-06,4.125938176002819e-06,0.09087983518838882,4.125938176002819e-06,0.00013271856005303562,4.59821785625536e-05,4.125938176002819e-06,0.09087983518838882,0.09087983518838882,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,9.754874554346316e-06,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,0.09087983518838882,0.09087983518838882,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,4.600059128279099e-06,0.09087983518838882,0.09087983518838882,2.1464273231686093e-05,0.09087983518838882,0.09087983518838882,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06,4.125938176002819e-06
2018-01-18,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,0.09812700003385544,0.09812700003385544,4.454958798305597e-06,4.454958798305597e-06,0.0741976872086525,4.454958798305597e-06,0.00016822585894260556,0.00014526103041134775,4.454958798305597e-06,0.09812700003385544,0.09812700003385544,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,1.4799991731706541e-05,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,0.04219765588641167,0.09812700003385544,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,8.281456757686101e-06,0.09812700003385544,0.09812700003385544,9.218645573128015e-06,0.09812700003385544,0.09812700003385544,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06,4.454958798305597e-06
